X,Y,Plant_Code,Plant_Name,State,Zip,PrimSource
-122.27305,38.25477,62701,Kaiser Napa Valley Corporate Dr Fuel Cell,California,94558,natural gas
-118.280032,33.727977,61319,Port of LA Solar FiT Project,California,90731,solar
-121.78259,37.24097,62702,Equinix Great Oaks Blvd. Fuel Cell,California,95119,natural gas
-80.84552,39.70257,61322,Long Ridge Energy Generation,Ohio,43931,natural gas
-121.88896,37.38846,62703,Equinix Lundy Ave. Fuel Cell,California,95131,natural gas
-73.2142,42.9133,63212,Battle Creek Solar,Vermont,5201,solar
-81.739,34.011,61323,Saluda Solar II,South Carolina,29138,solar
-118.38453,33.9212,62704,Equinix Douglas St. Fuel Cell,California,90245,natural gas
-86.215278,40.140278,63213,Sheridan School Corporation Solar,Indiana,46069,solar
-81.266,33.79,61324,Odyssey Solar,South Carolina,29123,solar
-118.39463,33.92542,62705,Equinix Maple Ave. Fuel Cell,California,90245,natural gas
-70.998672,42.581678,63214,Middleton Solar Park,Massachusetts,1949,solar
-94.92664,44.422314,63215,USS Dot Com Solar LLC CSG,Minnesota,56266,solar
-94.060012,44.789369,62706,Helen Solar CSG,Minnesota,55370,solar
-81.133,32.879,61325,Hampton Solar I,South Carolina,29924,solar
-93.275012,44.235164,62707,Walcott Solar CSG,Minnesota,55021,solar
-93.153061,44.417131,62708,Northfield Solar CSG,Minnesota,55057,solar
-80.699,33.567,61326,Cameron Solar II,South Carolina,29030,solar
-95.009,44.413,63216,USS B&B Solar LLC CSG,Minnesota,56266,solar
-93.39953,44.225457,62709,Warsaw Solar CSG,Minnesota,55052,solar
-81.351,33.237,61327,Barnwell Solar,South Carolina,29812,solar
-93.58484,44.19777,63218,USS Water Town Solar LLC CSG,Minnesota,56096,solar
-77.006676,38.874155,62710,Nationals,District of Columbia,20003,solar
-95.508331,44.798733,61328,Crater Community Solar,Minnesota,56241,solar
-94.160439,44.9066,63219,USS Water Fowl Solar LLC CSG,Minnesota,55381,solar
-97.203789,42.16159,62711,Plum Creek Wind Project (NE),Nebraska,68790,wind
-74.807687,40.09283,62712,Burlington Coat Factory Solar,New Jersey,8518,solar
-93.58042,44.21782,63220,USS Water City Solar LLC CSG,Minnesota,56096,solar
-94.088758,45.618565,61329,Delphinus Community Solar,Minnesota,56379,solar
-94.9858,44.41301,63221,USS Steamboat Solar LLC CSG,Minnesota,56266,solar
-83.728714,40.793073,61330,Hog Creek Wind Project,Ohio,45810,wind
-95.370856,33.467803,63222,Impact Solar 1,Texas,75435,solar
-75.065465,40.836806,62713,DSM Nutritional Products Solar,New Jersey,7823,solar
-89.962991,35.300066,61332,SR Innovation - NIKE PV,Tennessee,38127,solar
-97.889555,28.430988,63223,Brightside,Texas,78102,solar
-87.53,37.99,61333,Oak Hill Solar Array,Indiana,47711,solar
-145.74079,60.54047,62714,Eyak Service Center BESS,Alaska,99574,batteries
-75.618066,43.955471,63224,NY 26 Carthage CSG,New York,13619,solar
-87.548212,38.1492,61334,Volkman Road Solar Array Hybrid,Indiana,47725,solar
-97.32958,33.54915,62715,Wildcat Creek Wind Farm LLC,Texas,76240,wind
-112.249048,46.805739,61335,"Great Divide Solar, LLC",Montana,59602,solar
-108.419672,39.044814,62718,Mesa CSG 2 Massicotte,Colorado,81526,solar
-111.253974,47.547466,61336,"Black Eagle Solar, LLC",Montana,59404,solar
-108.64387,39.108785,62719,Mesa CSG 1 Murdock,Colorado,81526,solar
-108.937935,46.291439,61337,"Magpie Solar, LLC",Montana,59046,solar
-76.300435,38.94843,62720,"Chester Woods Point Solar, LLC CSG",Maryland,21619,solar
-123.13633,45.16964,61338,Mill Creek Solar (OR),Oregon,97378,solar
-78.855377,42.81849,62721,Steel Sun 2: 2303-III-9 Hamburg Tpke,New York,14218,solar
-117.989541,34.688042,61339,Green Beanworks B PV,California,93535,solar
-78.854217,42.811146,62722,Steel Sun 2: 2303-III-4 Hamburg Tpke,New York,14218,solar
-73.226647,44.084824,61340,Next Generation Solar Farm,Vermont,5472,solar
-78.85337,42.809003,62723,Steel Sun 2: 2303-III-2 Hamburg Tpke,New York,14218,solar
