Lon,Lat,NAMELSAD
-118.2284922,34.6906835,Los Angeles County
-117.9264289,34.08708686,Los Angeles County
-118.7761002,34.04483575,Los Angeles County
-117.7697035,34.0899808,Los Angeles County
-118.3473626,33.94225454,Los Angeles County
-118.217888,33.9976075,Los Angeles County
-117.9318568,34.11185469,Los Angeles County
-117.9689511,34.61620142,Los Angeles County
-117.731895,34.12116598,Los Angeles County
-118.4044994,33.93180519,Los Angeles County
-118.1205988,33.84235695,Los Angeles County
-118.347163,34.17219306,Los Angeles County
-118.7614645,34.1475568,Los Angeles County
-118.4656902,34.00698276,Los Angeles County
-118.38898,33.747174,Los Angeles County
-118.1013564,33.96958134,Los Angeles County
-117.9072064,34.04972528,Los Angeles County
-118.3356067,33.85348082,Los Angeles County
-118.3329564,33.85707385,Los Angeles County
-118.043106,33.95442599,Los Angeles County
-118.0668355,34.00500608,Los Angeles County
-118.219192,33.76395201,Los Angeles County
-118.5014361,34.77510559,Los Angeles County
-118.2684007,33.82735334,Los Angeles County
-118.1291485,34.04557089,Los Angeles County
-118.55917,34.37921299,Los Angeles County
-117.8552914,34.00676088,Los Angeles County
-118.2763265,33.85951472,Los Angeles County
-118.4527486,34.41563081,Los Angeles County
-118.094864,34.64671235,Los Angeles County
-117.9223101,33.94627279,Los Angeles County
-118.7192917,34.80844445,Los Angeles County
-118.231275,34.05002232,Los Angeles County
-117.9767578,34.03454683,Los Angeles County
-118.2338731,33.8460286,Los Angeles County
-118.0591861,34.5660542,Los Angeles County
-118.349233,33.79329009,Los Angeles County
-118.082148,33.96420598,Los Angeles County
-117.9196821,34.50906959,Los Angeles County
-118.2066567,33.76508981,Los Angeles County
-118.0811489,33.91557578,Los Angeles County
-118.5941936,34.46359424,Los Angeles County
-117.9693728,34.69065568,Los Angeles County
-118.3897191,33.92870414,Los Angeles County
-118.2078277,33.76483111,Los Angeles County
-118.0677468,33.93499107,Los Angeles County
-118.0656099,33.95856507,Los Angeles County
-117.9304235,34.00901094,Los Angeles County
-118.2060903,33.99797748,Los Angeles County
-118.2282903,34.6595412,Los Angeles County
-117.887703,33.99710378,Los Angeles County
-118.1300281,34.06991918,Los Angeles County
-118.205316,33.98271475,Los Angeles County
-118.0810745,34.12177523,Los Angeles County
-117.969417,34.76318367,Los Angeles County
-118.2442872,33.83959608,Los Angeles County
-118.1527794,33.99456583,Los Angeles County
-118.0241902,34.03444747,Los Angeles County
-118.1621853,34.04794252,Los Angeles County
-118.3794564,33.90338589,Los Angeles County
-118.1619319,33.86303482,Los Angeles County
-118.0732689,34.61032551,Los Angeles County
-118.3550087,33.8083703,Los Angeles County
-118.0826588,34.09221847,Los Angeles County
-118.0813473,34.05121845,Los Angeles County
-117.807819,34.11718102,Los Angeles County
-118.1001833,34.09869881,Los Angeles County
-118.298972,33.80703817,Los Angeles County
-118.058548,33.948067,Los Angeles County
-118.4881591,34.01725703,Los Angeles County
-118.4521968,34.04746172,Los Angeles County
-118.203535,33.77253096,Los Angeles County
-118.3966925,33.91903805,Los Angeles County
-118.2439987,33.80757585,Los Angeles County
-118.165005,34.64275724,Los Angeles County
-118.1682108,33.81143827,Los Angeles County
-117.7738664,34.05950958,Los Angeles County
-118.4225889,34.45187222,Los Angeles County
