PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
60193,GEN1,4.266642731384595,1623,Solar Photovoltaic,2.99717824,4.26664174,0,0,10.2,-7.0,37.691,-121.717
60220,ZWED1,-9.720268012195e-07,1535,Other Waste Biomass,0.0,0.8,0,0,13.9,-9.5,37.4325,-121.95285
60220,ZWED2,-9.720268012195e-07,1535,Other Waste Biomass,0.0,0.8,0,0,13.9,-9.5,37.4325,-121.95285
60223,EQXOO,-9.799779064056293e-07,1244,Other Natural Gas,0.0,1.1,0,0,0.0,0.0,37.241713,-121.781363
60224,NTL00,-9.799740128206221e-07,2373,Other Natural Gas,0.0,1.1,0,0,0.0,0.0,37.384745,-121.963808
60231,BA1,2.0000009059015467,8589,Batteries,2.00001401,2.0,0,0,0.0,0.0,33.211095,-117.299593
60231,PV1,5.818148821894055,8589,Solar Photovoltaic,4.08706124,5.81814783,0,0,10.2,-7.0,33.211095,-117.299593
60233,PV2,239.31981634241723,471,Solar Photovoltaic,168.114452,239.319814,0,0,10.2,-7.0,34.825267,-118.524989
60237,MSF2,38.7876531912902,1712,Solar Photovoltaic,27.247075,38.7876522,0,0,10.2,-7.0,33.162056,-115.531694
60242,SKI10,12.929218391099855,235,Solar Photovoltaic,9.08235832,12.9292174,0,0,10.2,-7.0,35.126111,-119.243361
60255,1,2.5858444716800535,452,Solar Photovoltaic,1.81647166,2.58584348,0,0,10.2,-7.0,34.108618,-117.782246
60255,2,1.2929227316800531,452,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,34.108618,-117.782246
60277,CASTR,1.9393836009553584,241,Solar Photovoltaic,1.36235375,1.93938261,0,0,10.2,-7.0,35.211044,-119.387258
60279,ABSR,25.858435791433248,8340,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.694839,-118.28769
60280,SUMSL,25.858435789655537,407,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.714703,-118.311006
60281,CADRB,3.8787662096555375,407,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,34.705549,-118.301417
60310,GEN01,25.858435789655537,407,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.71647,-118.2821
60311,GEN01,14.739308789655539,407,Solar Photovoltaic,10.3538885,14.7393078,0,0,10.2,-7.0,34.71412,-118.2739
60315,MSF3,25.85843579129021,1712,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,33.154761,-115.544918
60324,GEN01,139.50625738649583,2314,Solar Photovoltaic,97.9986462,139.506256,0,0,10.2,-7.0,34.826697,-118.335211
60336,MSF1,64.64608799129022,1712,Solar Photovoltaic,45.4117916,64.646087,0,0,10.2,-7.0,33.176627,-115.572788
60385,MB-18,-9.799704069311445e-07,16,Other Natural Gas,0.0,1.4,0,0,0.0,0.0,37.719166,-121.886944
60386,PV1,26.117020049219125,471,Solar Photovoltaic,18.3463638,26.1170191,0,0,10.2,-7.0,34.821453,-118.497406
60412,MUN,5.171687951445365,209,Solar Photovoltaic,3.63294333,5.17168696,0,0,10.2,-7.0,36.2647,-117.9955
60428,PV1,2.8444288213837248,2126,Solar Photovoltaic,1.99811883,2.84442783,0,0,10.2,-7.0,37.92,-122.344
60450,PVCR,1.4222149014373333,318,Solar Photovoltaic,0.999059415,1.42221391,0,0,10.2,-7.0,36.102307,-119.566516
60474,BSHRB,25.858435791433248,8340,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.678305,-118.302649
60475,BSHRC,25.858435791433248,8340,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.681338,-118.314087
60481,BSHRA,25.858435791433248,8340,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.667817,-118.298089
60491,SB3BS,1.500000850457215,1553,Batteries,1.50001041,1.5,0,0,0.0,0.0,35.171153,-118.001652
60491,SB3SF,116.36295815522398,1553,Solar Photovoltaic,81.7412249,116.362957,0,0,10.2,-7.0,35.171153,-118.001652
60509,PV1,3.8787662113900487,1541,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,33.2503,-117.0226
60516,PV1,3.8787662116483546,1084,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,33.2704,-117.0588
60558,PV1,25.858435791377243,8185,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,33.618678,-114.696182
60565,SES1,-8.777240805536105e-07,1051,Batteries,0.500002894,0.5,0,0,0.0,0.0,33.27011,-116.3496
60565,SES2,-8.777240656023012e-07,1051,Batteries,1.00000674,1.0,0,0,0.0,0.0,33.27011,-116.3496
60566,SES1,0.5000008966682141,1098,Batteries,0.500002894,0.5,0,0,0.0,0.0,33.35651,-117.113599
60566,SES2,1.0000008915376886,1098,Batteries,1.00000674,1.0,0,0,0.0,0.0,33.35651,-117.113599
60568,SES,1.0000009166288526,8330,Batteries,1.00000674,1.0,0,0,0.0,0.0,32.95907,-117.191622
60569,SES,7.5000008921650165,1092,Batteries,7.50005391,7.5,0,0,0.0,0.0,32.8115,-117.050546
60570,SES,13.568063838342631,8838,Batteries,18.2432311,30.0,0,0,0.0,0.0,33.124446,-117.114274
60571,NCEP,-9.963600332196571e-07,2039,Landfill Gas,0.0,1.6,0,0,23.1666667,-13.7,32.877822,-117.197788
60590,RS1,69.81777499143325,2314,Solar Photovoltaic,49.0447349,69.817774,0,0,10.2,-7.0,34.839012,-118.386843
60591,RS1,69.81777499143325,2314,Solar Photovoltaic,49.0447349,69.817774,0,0,10.2,-7.0,34.839012,-118.386843
60594,VYGR1,131.10000130244225,1682,Onshore Wind Turbine,56.9689985,131.1,0,0,23.8842105,-22.5631579,35.046061,-118.28273
60661,013A,9.897598342626871,8082,Batteries,10.0000718,10.0,0,0,0.0,0.0,34.006125,-117.560934
60661,013B,9.897598342626871,8082,Batteries,10.0000718,10.0,0,0,0.0,0.0,34.006125,-117.560934
60678,SJ1A,25.599851491341802,1969,Solar Photovoltaic,17.9830695,25.5998505,0,0,10.2,-7.0,36.527,-120.149
60678,SJ1B,1.9393836013418035,1969,Solar Photovoltaic,1.36235375,1.93938261,0,0,10.2,-7.0,36.527,-120.149
