,PlantCode,GenID,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon,pow_gen,gen_carbon_emission_rate
268,50493,DC1,239,Natural Gas Fired Combustion Turbine,10.6685586,24.9,0,0,15.4,-8.3,35.5005,-119.046,24.90000098,0.44
269,50493,DC2,239,Natural Gas Fired Combustion Turbine,10.6685586,24.9,0,0,15.4,-8.3,35.5005,-119.046,24.90000098,0.44
270,50494,KF1,1666,Natural Gas Fired Combustion Turbine,10.624254,24.9,0,0,15.4,-8.3,35.51647,-119.040128,24.90000098,0.44
271,50494,KF2,1666,Natural Gas Fired Combustion Turbine,10.624254,24.9,0,0,15.4,-8.3,35.51647,-119.040128,24.90000098,0.44
272,50495,HS1,248,Natural Gas Fired Combustion Turbine,11.5964714,24.9,0,0,15.4,-8.3,35.509041,-119.030546,24.90000098,0.44
273,50495,HS2,248,Natural Gas Fired Combustion Turbine,11.5964714,24.9,0,0,15.4,-8.3,35.509041,-119.030546,24.90000098,0.44
274,50530,GEN1,1702,Other Gases,30.0002212,30.0,0,0,18.6,-10.0,33.791667,-118.234722,30.00000097,0.77656
275,50530,GEN2,1702,Other Gases,30.0002212,30.0,0,0,18.6,-10.0,33.791667,-118.234722,30.00000097,0.77656
276,50530,GEN3,1702,Other Gases,0.0,23.0,0,0,17.3,-7.7,33.791667,-118.234722,23.00000097,0.77656
277,50537,GEN1,1807,Natural Gas Fired Combustion Turbine,6.00004416,6.0,0,0,24.5645161,-14.3219355,37.455314,-122.172797,6.000000956,0.44
278,50540,GEN2,554,Natural Gas Steam Turbine,0.0,1.5,0,0,112.496078,-68.5764706,33.8153,-118.2358,1.500000966,0.44
279,50541,GEN1,384,Natural Gas Fired Combined Cycle,82.3006078,82.3,0,0,0.0,0.0,33.7771,-118.2303,82.30000097,0.44
280,50541,ST1,384,Natural Gas Fired Combined Cycle,13.6001001,13.6,0,0,0.0,0.0,33.7771,-118.2303,13.60000097,0.44
281,50541,ST2,384,Natural Gas Fired Combined Cycle,11.5000846,11.5,0,0,0.0,0.0,33.7771,-118.2303,11.50000097,0.44
282,50560,GEN1,1447,Wood/Wood Waste Biomass,0.0,25.0,0,0,15.5,-8.3,37.874056,-120.477556,25.00000098,0.23
