Plant state abbreviation,DOE/EIA ORIS plant or facility code,Utility ID,Plant latitude,Plant longitude,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant annual net generation,Plant annual CO2 emissions,plant_emission_rate
CA,61989,61575,36.916111,-119.97138,SUN,SOLAR,9257.0,0.0,0.0
CA,61027,60658,37.9418,-121.3383,NG,GAS,67.0,90.297,1.3477164179104477
CA,57757,57170,34.891389,-118.4325,WND,WIND,303673.0,0.0,0.0
CA,50560,58650,37.874056,-120.477556,WDS,BIOMASS,134869.0,0.169,1.2530677917089918e-06
CA,50533,61279,33.9369,-116.6183,WND,WIND,30876.0,0.0,0.0
CA,57773,58315,33.661667,-114.651667,SUN,SOLAR,2066.0,0.0,0.0
CA,55985,16609,33.1197,-117.117778,NG,GAS,1182812.0,511972.391,0.43284341974886964
CA,56803,56019,36.6514,-120.5833,NG,GAS,632832.0,355318.328,0.5614733894619741
CA,57340,56769,36.627,-120.879,SUN,SOLAR,381838.0,0.0,0.0
CA,376,5571,38.2569,-120.8507,WAT,HYDRO,170924.0,0.0,0.0
CA,59539,59284,33.896111,-117.283611,SUN,SOLAR,2908.0,0.0,0.0
CA,428,12312,37.477838,-120.444492,WAT,HYDRO,4320.0,0.0,0.0
CA,447,2518,34.295334,-114.140222,WAT,HYDRO,424552.0,0.0,0.0
CA,58198,58171,37.762524,-122.456747,NG,GAS,70776.0,24097.164,0.3404708375720583
CA,55656,2820,34.9556,-118.844,NG,GAS,4060797.0,1770607.438,0.4360246124098299
CA,50849,61261,37.870331,-122.26337,NG,GAS,181873.0,60226.52,0.33114601947512823
CA,6704,17609,33.333056,-118.310278,DFO,OIL,29883.011,24980.852,0.8359549845897389
CA,481,12397,33.8361,-117.1831,WAT,HYDRO,10525.0,0.0,0.0
CA,62611,62028,32.753281,-117.035241,SUN,SOLAR,2221.0,0.0,0.0
CA,63376,63125,34.57654,-117.58281,SUN,SOLAR,3123.0,0.0,0.0
CA,50388,4208,38.018056,-122.2344,PC,OIL,85439.0,85888.773,1.005264258710893
CA,50119,4208,38.0417,-122.2583,PRG,OTHF,388814.001,122195.669,0.3142779547179938
CA,264,14328,38.032103,-120.326537,WAT,HYDRO,6434.0,0.0,0.0
CA,388,9216,32.736642,-114.713858,WAT,HYDRO,23465.0,0.0,0.0
CA,7907,10325,36.8326,-119.327,WAT,HYDRO,714555.999,0.0,0.0
CA,57306,11208,35.229635,-118.1957,SUN,SOLAR,12708.0,0.0,0.0
CA,56433,11208,35.248006,-118.175356,WND,WIND,257823.0,0.0,0.0
CA,57834,59868,35.043411,-118.211835,WND,WIND,275335.0,0.0,0.0
CA,57837,59869,35.026759,-118.223333,WND,WIND,203749.0,0.0,0.0
CA,57555,56895,32.573889,-116.917777,NG,GAS,107423.001,62851.027,0.5850797912450798
CA,265,14328,40.99084,-121.498243,WAT,HYDRO,277402.0,0.0,0.0
CA,266,14328,40.997448,-121.748139,WAT,HYDRO,362321.001,0.0,0.0
CA,267,14328,40.986361,-121.84944,WAT,HYDRO,452030.0,0.0,0.0
CA,268,14328,40.986197,-121.977594,WAT,HYDRO,853787.001,0.0,0.0
CA,269,14328,40.922568,-121.992906,WAT,HYDRO,334992.0,0.0,0.0
CA,270,14328,40.847462,-121.990798,WAT,HYDRO,461161.0,0.0,0.0
CA,59803,57128,37.83286,-122.284003,NG,GAS,7267.0,0.0,0.0
CA,50696,14155,33.6942,-117.9381,OBG,BIOMASS,39854.001,1891.555,0.04746211051683369
CA,52099,14155,33.6433,-117.9556,OBG,BIOMASS,53439.0,1776.703,0.03324731001702876
CA,402,11208,37.41416,-118.523889,WAT,HYDRO,10229.0,0.0,0.0
CA,10479,34691,37.6455,-118.9096,GEO,GEOTHERMAL,82350.999,0.0,0.0
CA,272,14328,39.722892,-121.469814,WAT,HYDRO,601439.0,0.0,0.0
CA,10709,17725,40.4579,-121.8427,WAT,HYDRO,3808.0,0.0,0.0
CA,353,17609,37.944237,-119.2161,WAT,HYDRO,26036.0,0.0,0.0
CA,61319,11208,33.727977,-118.280032,SUN,SOLAR,1865.0,0.0,0.0
CA,354,17609,37.257045,-119.158936,WAT,HYDRO,21961.0,0.0,0.0
CA,60310,60412,34.71647,-118.2821,SUN,SOLAR,53693.0,0.0,0.0
CA,60311,60412,34.71412,-118.2739,SUN,SOLAR,30566.0,0.0,0.0
CA,59219,59004,36.05,-119.02,SUN,SOLAR,5779.0,0.0,0.0
CA,58309,58268,36.102778,-119.039722,SUN,SOLAR,6595.001,0.0,0.0
CA,59952,59713,38.216973,-121.979452,LFG,BIOMASS,63061.0,0.002,3.171532325843231e-08
CA,274,14328,39.361786,-123.127934,WAT,HYDRO,18872.0,0.0,0.0
CA,57696,5571,37.825833,-122.296111,OBG,BIOMASS,24188.0,0.0,0.0
CA,58611,58661,34.496944,-117.145,SUN,SOLAR,4343.0,0.0,0.0
CA,62578,62067,37.711995,-122.150665,SUN,SOLAR,3460.0,0.0,0.0
CA,55601,57250,33.494925,-117.614587,LFG,BIOMASS,44276.0,0.0,0.0
CA,63493,57353,40.15006,-120.123352,SUN,SOLAR,1123.0,0.0,0.0
CA,10472,11217,34.0233,-118.0241,LFG,BIOMASS,195597.0,0.0,0.0
CA,59322,59121,35.305556,-119.6225,SUN,SOLAR,51037.0,0.0,0.0
CA,59550,59290,38.521111,-121.993889,SUN,SOLAR,4964.0,0.0,0.0
CA,60790,60455,34.038433,-117.565802,SUN,SOLAR,5023.0,0.0,0.0
CA,59457,59222,32.904167,-117.201111,NG,GAS,34458.0,10946.188,0.3176675372917755
CA,59339,61230,37.130278,-121.052222,SUN,SOLAR,258796.0,0.0,0.0
CA,382,16612,37.877667,-119.953233,WAT,HYDRO,455802.001,0.0,0.0
CA,58354,60025,34.665556,-118.288056,SUN,SOLAR,3219.0,0.0,0.0
CA,58355,60025,34.665556,-118.286944,SUN,SOLAR,3211.0,0.0,0.0
CA,427,15127,39.000999,-120.725053,WAT,HYDRO,538841.0,0.0,0.0
CA,58909,58786,33.012222,-116.875,SUN,SOLAR,4467.0,0.0,0.0
CA,58911,58787,33.012222,-116.875,SUN,SOLAR,9318.0,0.0,0.0
CA,60995,16609,33.018486,-116.860713,SUN,SOLAR,6716.0,0.0,0.0
CA,59540,59284,34.100278,-117.552778,SUN,SOLAR,2977.0,0.0,0.0
CA,56615,27075,32.93695,-117.113669,WAT,HYDRO,12861.0,0.0,0.0
CA,60226,60413,38.339857,-121.114494,SUN,SOLAR,22725.0,0.0,0.0
CA,62458,57128,34.08145,-118.15191,NG,GAS,8514.0,0.0,0.0
CA,60426,60206,33.5226,-117.1815,SUN,SOLAR,10058.0,0.0,0.0
CA,58984,58468,36.6175,-120.290833,SUN,SOLAR,49489.0,0.0,0.0
CA,59976,59727,34.844226,-118.458466,SUN,SOLAR,282607.0,0.0,0.0
CA,59977,59728,34.836649,-118.480204,SUN,SOLAR,215285.0,0.0,0.0
CA,60389,60191,35.20473,-118.06875,SUN,SOLAR,163388.0,0.0,0.0
CA,57783,62948,38.3475,-121.412777,SUN,SOLAR,10922.0,0.0,0.0
CA,57784,62948,38.3475,-121.412777,SUN,SOLAR,11163.0,0.0,0.0
CA,57785,62948,38.3475,-121.412777,SUN,SOLAR,11323.0,0.0,0.0
CA,58983,58468,35.026667,-118.185556,SUN,SOLAR,123688.0,0.0,0.0
CA,58502,62949,35.024722,-118.164167,SUN,SOLAR,22880.0,0.0,0.0
CA,58990,58468,35.026667,-118.185556,SUN,SOLAR,41974.0,0.0,0.0
CA,57777,62948,38.468611,-121.181944,SUN,SOLAR,5338.0,0.0,0.0
CA,57779,62948,38.466111,-121.177778,SUN,SOLAR,4878.0,0.0,0.0
CA,57781,62948,38.461944,-121.180278,SUN,SOLAR,6210.0,0.0,0.0
CA,60233,17650,34.825267,-118.524989,SUN,SOLAR,475440.0,0.0,0.0
CA,60386,17650,34.821453,-118.497406,SUN,SOLAR,57637.0,0.0,0.0
CA,57778,62948,38.365053,-121.381101,SUN,SOLAR,11289.0,0.0,0.0
CA,57780,62948,38.365053,-121.381101,SUN,SOLAR,11716.0,0.0,0.0
CA,57782,62948,38.365053,-121.381101,SUN,SOLAR,11587.0,0.0,0.0
CA,58985,58468,36.247778,-119.833889,SUN,SOLAR,49643.0,0.0,0.0
CA,58148,58111,36.226111,-119.834167,SUN,SOLAR,49016.0,0.0,0.0
